role,wnid,label,source,prepared
target,n03028079,church,public_data/imagenette2-160/val/n03028079/n03028079_15370.JPEG,public_data/imagenette_mosaic/target/n03028079_church_target.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_2102.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_000.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_3070.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_001.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_5410.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_002.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_12632.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_003.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_11602.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_004.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_12131.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_005.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_5802.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_006.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_14310.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_007.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_3432.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_008.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_4681.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_009.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_4360.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_010.jpg
tile,n01440764,tench,public_data/imagenette2-160/val/n01440764/n01440764_8580.JPEG,public_data/imagenette_mosaic/tiles/n01440764_tench_011.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_2462.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_000.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_6400.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_001.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_5370.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_002.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_660.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_003.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_7041.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_004.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_30.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_005.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_5120.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_006.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_362.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_007.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_2111.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_008.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_251.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_009.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_5311.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_010.jpg
tile,n02102040,English springer,public_data/imagenette2-160/val/n02102040/n02102040_580.JPEG,public_data/imagenette_mosaic/tiles/n02102040_english-springer_011.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_18802.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_000.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_12822.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_001.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_5031.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_002.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_3462.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_003.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_12060.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_004.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_18720.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_005.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_17680.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_006.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_20701.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_007.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_20631.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_008.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_4720.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_009.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_9371.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_010.jpg
tile,n02979186,cassette player,public_data/imagenette2-160/val/n02979186/n02979186_3620.JPEG,public_data/imagenette_mosaic/tiles/n02979186_cassette-player_011.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_8580.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_000.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_6021.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_001.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_1821.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_002.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_15932.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_003.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_18880.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_004.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_15300.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_005.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_7312.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_006.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_23971.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_007.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/ILSVRC2012_val_00026061.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_008.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_2220.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_009.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_10302.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_010.jpg
tile,n03000684,chain saw,public_data/imagenette2-160/val/n03000684/n03000684_1040.JPEG,public_data/imagenette_mosaic/tiles/n03000684_chain-saw_011.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_28830.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_000.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_30001.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_001.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_33771.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_002.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_42912.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_003.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_16212.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_004.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_33902.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_005.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_43022.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_006.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_47330.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_007.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_30231.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_008.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_28590.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_009.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_46672.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_010.jpg
tile,n03394916,French horn,public_data/imagenette2-160/val/n03394916/n03394916_27241.JPEG,public_data/imagenette_mosaic/tiles/n03394916_french-horn_011.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_802.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_000.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_1000.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_001.jpg
